"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"812a0ef0-eaa2-40f3-bc6e-0b211719e3d1","cts-import.tei.xml","Ὀδυσῆος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[18]::13;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[18]::20","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"277a39c4-3474-4c73-8713-c3c07fbd9b65","cts-import.tei.xml","Τηλέμαχος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[25]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[25]::9","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Telemachus","","",""
"1eff6dc3-acdf-47e5-9a6e-0f8e0f6eefaf","cts-import.tei.xml","Πηνελόπεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[26]::31;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[26]::41","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Penelope","","",""
"6ce6a2c0-b3ff-4f4d-a083-753673e127d2","cts-import.tei.xml","Ὀδυσεὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[10]/l[4]::5;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[10]/l[4]::12","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"13e52397-e4a1-4eed-baaa-5263ad91c9fe","cts-import.tei.xml","Ὀδυσσεύς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[27]::35;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[27]::43","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"d2ba523d-7145-499e-be80-278b9cb8fc3b","cts-import.tei.xml","Τηλέμαχον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[28]::8;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[28]::17","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Telemachus","","",""
"5e6d8bc9-110c-4d18-8f2e-b92a2c436ffb","cts-import.tei.xml","Τηλέμαχʼ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[11]/l[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[11]/l[1]::8","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Telemachus","","",""
"ef53301e-2312-4e42-9ef1-570be26eaf00","cts-import.tei.xml","Ἰθάκῃ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[11]/l[10]::11;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[11]/l[10]::16","PLACE","http://pleiades.stoa.org/places/530906","Ithaca Ins.|Ithaca|Ithaca, Ithaca|Ithaca Ins., Ithaca","-0750/0640","38.44193","20.638399","island,settlement","VERIFIED","","","",""
"59fb8a16-3259-481a-a5d8-a4ae1e94f1a5","cts-import.tei.xml","Τηλέμαχος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[29]::10;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[29]::19","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Telemachus","","",""
"9c6f6396-5e50-4148-86b0-2d84057edd41","cts-import.tei.xml","Ὀδυσσεύς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[30]::39;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[30]::47","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
