"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"aa991715-9573-40e4-968f-b2cf58574b5b","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἐμπόριον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::226;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::234","","","","","","","","","geoname","","",""
"d2472b41-21f9-436c-a300-5ab0bbea7e94","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Ἀδουλιτικῷ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::366;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::376","PLACE","http://pleiades.stoa.org/places/39271","Adouli|Adouli/Adule, Zeila|Adouli, Azouli","-0030/0300","11.353889","43.473889","settlement,port","VERIFIED","","this looked like the best match but I'm not entirely sure|yes, it is the correct match.","",""
"2a4bdf0d-c7c5-4ee5-8005-5a0d39263b00","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","τόπος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::383;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[3]::388","","","","","","","","","geoname","","",""
"e09bbe17-061b-47f7-b4d3-d46078e08f06","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Πτολεμαΐδα τὴν τῶν θηρῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::13;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::37","PLACE","http://pleiades.stoa.org/places/39409","Ptolemais Theron|Ptolemais Theron, Trinkatat","-0030/0300","18.222236","38.184316","settlement,port","VERIFIED","","full name.","",""
"ad39fca8-30cc-4569-a0fc-64f498c9d8e9","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἀπὸ σταδίων ὡς τρισχιλίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::38;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::63","","","","","","","","","distance","","",""
"d5d57f43-7b00-43a5-b7ad-f45c004c0858","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἐμπόριόν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::64;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::72","","","","","","","","","geoname","","",""
"ec3444c1-8e7a-4c43-b262-1dcb689e4f94","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Ἄδουλι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::89;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::95","PLACE","http://pleiades.stoa.org/places/39271","Adouli|Adouli/Adule, Zeila|Adouli, Azouli","-0030/0300","11.353889","43.473889","settlement,port","VERIFIED","","","",""
"a67f3f54-c47a-4a74-b51c-e88118b072cf","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","κόλπῳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::109;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::114","","","","","","","","","geoname","","",""
"d4b8369a-4761-4cd1-bf8f-92b17ffe7685","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","νῆσος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::157;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::162","","","","","","","","","geoname","","",""
"b43b9c2e-ee05-4091-aefc-dca7ca31b5e6","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Ὀρεινὴ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::163;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::169","PLACE","http://pleiades.stoa.org/places/39404","Oreine Ins.|Oreine Ins., Dissei","-0030/0300","15.4307209","39.7582797","island","VERIFIED","","","",""
